First Name,Last Name,Minutes Played,TEAM,DOB,Age,Position,Nationality,Preferred Foot
Daniel,Pinter,424,Inter Miami 2,6/6/2007,18,"Winger, Striker",USA,Right
Mateo,Saja,941,Inter Miami 2,7/6/2007,17,Center Forward,Argentina,Right
Daniel,Sumalla,209,Inter Miami 2,6/25/2007,18,Center Back,USA,Right
Jude,Terry,586,LAFC 2,10/8/2008,16,Central Midfielder ,"USA, Argentina, Mexico",Right
James,Lane,11,LAFC 2,11/9/2007,17,Forward,USA,Right
DeCarlo ,Guerra,836,LAFC 2,2/1/2008,17,Central Midfielder ,USA and Guatemala,Right
Gavin,Zambrano,203,LAFC 2,1/23/2008,17,Midfielder,USA,Right
Marius,Aiyenero,237,LAFC 2,5/23/2008,17,Center Forward,Canada,Right
Dempsey,Resich,46,LAFC 2,10/22/2007,17,Forward,USA,Left
Matias,Wanchope,74,LAFC 2,8/31/2007,17,Central Midfield,Costa Rica,Left
Adrian ,Sanders,236,LAFC 2,9/17/2008,16,Center Back,USA,Right
Ethan,Scally,180,LAFC 2,7/8/2008,16,Goalkeeper,USA,Right
Charlie,Rosenthal,305,LAFC 2,4/15/2007,18,"Attacking Midfielder, Forward",USA and England,Left
Kayne,Rizvanovich,270,Minnesota United 2,10/26/2007,17,Goalkeeper,USA,Right
John,Farris,707,Minnesota United 2,9/9/2007,17,"Midfelder, Defender",USA,Right
Issa,Saidi,219,Minnesota United 2,6/20/2008,17,Midfielder,USA,Right
Alisa,Randell,461,Minnesota United 2,8/25/2007,17,"Striker, Winger",USA and Liberia,Right
Braden,Schumacher,75,Minnesota United 2,3/21/2008,17,Midfielder,USA,
Kai,Zeruhn ,180,Minnesota United 2,10/12/2007,17,Goalkeeper,USA,Right
Damario,McIntosh,678,NE Revolution 2,8/17/2007,17,Right Back,USA and Jamaica,Right
Cristiano,Oliveira,634,NE Revolution 2,3/20/2008,17,Central Midfielder ,USA,Right
Cristiano,Carlos,145,NE Revolution 2,1/1/2008,17,"Left Winger, Forward",USA and Portugal,Right
Robert,Nichols,63,NE Revolution 2,10/5/2007,17,Center Forward,USA,Right
Grant,Emerhi,104,NE Revolution 2,1/25/2008,17,Forward,USA and Lithuania,Right
Sheridan,McNish,3,NE Revolution 2,6/25/2008,17,"Center Back, Outside Back",USA and T&T,Right
Bryan,Norena ,31,NE Revolution 2,1/17/2008,17,Midfielder,USA,Right
Edwin,Flores,31,NE Revolution 2,10/19/2007,17,Midfielder,USA,Right
Enzo,Goncalves,19,NE Revolution 2,,125,Forward,USA and Portugal,Left
Levi,Katsell,59,NE Revolution 2,12/16/2009,15,Attacking Midfielder,Czech Republic,Right
Judah,Siqueira,203,NE Revolution 2,3/27/2009,16,Central Midfield,USA,Right
Javaun,Mussenden,542,NE Revolution 2,9/5/2007,17,Central Midfielder ,USA,Right
Josh ,Macedo,180,NE Revolution 2,,125,Right Back,USA,Right
Ivan,Villalobos,24,NE Revolution 2,5/13/2009,119,Midfielder,USA,Right
Eli,Ackerman,74,NE Revolution 2,1/9/2008,17,Right Back,USA,Right
Landon,Hickman,304,North Texas,7/12/2007,17,"Midfielder, Outside Back",USA,Right
Isaiah,Kaakoush,466,North Texas,1/20/2008,17,"Center Back, Defensive Midfilder",USA,Right
Joshua,Torquato,1259,North Texas,7/24/2007,17,Outside Back,USA,Left
Nicolás ,Montoya,450,North Texas,7/4/2007,17,Goalkeeper,Colombia,Right
Christopher ,Salazar,134,North Texas,9/24/2007,17,"Forward, Winger",USA,Right
Leonardo,Orejarena,86,North Texas,11/10/2007,17,Attacking Midfielder,USA,Right
Jaidyn,Contreras,592,North Texas,9/26/2007,17,Forward,USA,Right
Aidan,Stokes,1115,NYRB2,1/14/2008,17,Goalkeeper,USA,Right
Matthew,Dos Santos,878,NYRB2,6/5/2008,17,"Left Back, Wing Back",USA,Left
Christian,Gallagher,207,NYRB2,11/5/2007,17,Forward,USA,Right
Tanner,Rosborough,814,NYRB2,3/21/2008,17,Forward,USA,Right
Dennis,Nelich,30,NYRB2,3/3/2008,17,Forward,USA,Right
Adri,Mehmeti,1080,NYRB2,4/6/2009,16,Midfielder,USA,Right
Julian,Hall,269,NYRB2,3/24/2008,17,Forward,USA,Right
Peter,Molinari,1070,NYCFC2,1/28/2009,16,Central Midfielder,USA,Right
Julien,Lacher,1215,NYCFC2,10/1/2007,17,Winger,USA,Right
Jacob,Arroyave,156,NYCFC2,11/12/2007,17,"Attacking Midfielder, Winger",USA and Colombia,Left
Zidane,Yanez,240,NYCFC2,1/26/2008,17,Forward,USA and Chile,Right
Seymour,Garfield-Reid,864,NYCFC2,3/4/2008,17,Forward,Jamaica and USA,Right
Luka,Sunjic ,287,NYCFC2,3/28/2009,16,Central Midfield,USA,Right
Evan,Lim,766,NYCFC2,4/5/2008,17,Central Midfield,USA,Right
Maximo,Carrizo,514,NYCFC2,2/28/2008,17,Attacking Midfielder,USA,Left
Dylan,Thomas,13,NYCFC2,2/22/2008,17,Winger,USA,Right
Dylan,Judelson,464,Orlando City B,6/5/2008,17,Central Midfield,USA and Canada,Right
Justin,Ellis,666,Orlando City B,5/14/2007,18,Forward,USA,Both
Clovis,Archange,10,Orlando City B,1/7/2008,17,"Center Back, Outside Back",Canada,Left
Bernardo,Rhein Goncalves,279,Orlando City B,9/21/2007,17,Winger,USA,Right
Gustavo,Carballo,400,Orlando City B,8/29/2008,16,Winger,Venezuela,Left
Justin,Hylton,34,Orlando City B,12/4/2007,17,Attacking Midfielder,USA,Left
Niel,Pierre,580,Philadelphia Union 2,10/19/2007,17,Center Back,USA,Right
Kellan,LeBlanc,299,Philadelphia Union 2,3/17/2008,17,Attacking Midfielder,USA,Left
Jordan,Griffin,198,Philadelphia Union 2,10/25/2008,16,Forward,USA,Left
Malik,Kajupovic,19,Philadelphia Union 2,6/24/2009,16,Forward,USA and Bosnia,Left
Jamir,Johnson,54,Philadelphia Union 2,7/6/2008,16,Outside Back,USA,Right
Ricardo,Bautista,58,Portland Timbers 2,1/1/2008,17,Outside Back,USA and Mexico,Right
Eric,Izoita,504,Portland Timbers 2,9/8/2007,17,Central Midfielder,USA,Left
Daniel,Nunez,791,Portland Timbers 2,12/4/2008,16,Attacking Midfielder,USA and Mexico,Right
Max,Eisenberg,296,Portland Timbers 2,12/6/2007,17,"Winger, Forward",USA,Right
Bryce,Vanvoorhis,236,Portland Timbers 2,6/8/2008,17,Central Midfielder,USA,Right
Andrew,Krapf,2,Portland Timbers 2,12/3/2008,16,Midfielder,USA,Right
Jacob,Izoita,9,Portland Timbers 2,9/8/2007,17,Winger,USA,Right
Hudson ,Tate,15,Portland Timbers 2,7/22/2007,17,"Midfielder, Winger",USA,Right
Diego,Rocio,61,Real Monarchs,9/5/2007,17,"Forward, Winger",USA and Mexico,Right
Aiden,Hezarkhani,585,Real Monarchs,6/28/2007,17,"Winger, Forward",USA,Left
Omar,Marquez,459,Real Monarchs,2/21/2008,17,Attacking Midfielder,USA,Right
Chase,Duke,29,Real Monarchs,1/11/2008,17,"Forward, Winger",USA,Right
Owen ,Anderson,912,Real Monarchs,6/6/2007,18,"Attacking Midfielder, Winger",USA,Right
Dominic ,Berrios,106,Real Monarchs,06/01/2007,18,Defensive Midfielder,USA and Mexico,Right
Axel,Kei,57,Real Monarchs,12/30/2007,17,Forward,Ivory Coast,Left
Lucas,Moisa,180,Real Monarchs,4/20/2008,17,Central Midfielder,USA,Right
Antonio,Riquelme,61,Real Monarchs,8/8/2008,16,Attacking Midfielder,USA and Chile,Right
Jack,Kortkamp,270,SKC 2,1/28/2008,17,Goalkeeper,USA,Right
Ian,James,270,SKC 2,7/6/2008,16,Right Back,USA,Right
Carter,Derksen,172,SKC 2,8/2/2007,17,Midfielder,USA,Right
Tyson,Pearce,1065,St Louis City 2,8/12/2007,17,Right Back,USA,Right
Emiliano,Chavez,14,St Louis City 2,9/14/2008,16,Left Back,USA,Left
Lorenzo,Cornelius,135,St Louis City 2,1/28/2008,17,"Attacking Midfielder, Winger",USA,Right
Ryan,Dugan,302,St Louis City 2,4/29/2007,18,"Attacking Midfielder, Forward",USA,Right
Sebastian,Gomez,866,Tacoma Defiance,5/21/2008,17,Attacking Midfielder,USA and Canada and Nicaragua,Right
Omar,Said Hassan,27,Tacoma Defiance,3/24/2009,16,"Winger, Forward",USA and Somalia,Right
Edson,Carli,504,Tacoma Defiance,8/23/2007,17,Defensive Midfielder,USA,Right
Mohammed,Shour,270,Tacoma Defiance,9/12/2007,17,Goalkeeper,USA,Right
Gallatin,Sandnes,254,Tacoma Defiance,6/3/2008,17,Center Back,USA,Right
Leonardo,Flores Gonzalez,27,Tacoma Defiance,4/15/2008,17,Winger,USA,Right
Mitchell,Emert,27,Tacoma Defiance,5/12/2008,17,Midfielder,USA,Right
Richard,Chukwu,470,Toronto FC 2,2/25/2008,17,"Center Back, Left Back",Canada,Left
Joshua,Nugent,323,Toronto FC 2,5/6/2007,18,"Winger, Forward",Canada,Right
Stefan,Kapor,265,Toronto FC 2,4/4/2009,16,"Center Back, Left Back",Canada,Left
Jahmarie,Nolan,418,Toronto FC 2,11/11/2009,15,"Forward, Attacking Midfielder",Jamaica,Right
Timothy,Fortier,135,Toronto FC 2,12/22/2008,16,Attacking Midfielder,Canada,Right
Antone,Bossenberry,376,Toronto FC 2,8/14/2008,16,Attacking Midfielder,Canada,Right
Rohan,Rajagopal,696,The Town FC,6/12/2007,18,Defensive Midfielder,USA,Right
Kaedren ,Spivey,181,The Town FC,5/28/2009,16,Central Midfielder,USA,Right
Scott,Chavira,15,The Town FC,9/30/2007,17,Center Back,USA,Right
Chance,Cowell,453,The Town FC,7/5/2008,16,Winger,USA and Mexico,Right
Tomo,Allen,147,The Town FC,7/3/2007,17,"Attacking Midfielder, Forward",USA and Japan,Both
Harbor,Miller,720,Ventura County,6/21/2007,18,Outside Back,USA,Right
Mateo,Tsakiris,360,Ventura County,3/5/2008,17,"Midfielder, Outside Back",USA,Right
Dylan,Vanney,1023,Ventura County,11/27/2007,17,Attacking Midfielder,USA,Right
Gustavo,Gonzalez,3,Ventura County,6/24/2007,18,Center Back,USA,Left
Jose,Magana,843,Ventura County,7/1/2007,17,"Center Back, Outside Back",USA and Mexico,Right
Eric,Preston,45,Ventura County,1/31/2008,17,Outside Back,USA,Right
Vicente,Garcia,97,Ventura County,6/25/2010,15,Central Midfield,USA and Mexico,Left
Mateo,Clark,880,Vancouver Whitecaps 2,4/25/2007,18,Attacking Midfielder,USA & Nicaragua,Right
John,Selemani,923,Vancouver Whitecaps 2,3/16/2008,17,Winger,Canada,Right
Sahil,Deo,65,Vancouver Whitecaps 2,4/7/2008,17,"Center Back, Left Back",Canada,Left
Carson,Rassak ,90,Vancouver Whitecaps 2,,125,,,
Lucas,Chen,321,Vancouver Whitecaps 2,11/5/2007,17,Cemter Back,Canada,Right
Yuma,Tsuji,672,Vancouver Whitecaps 2,8/7/2008,16,Attacking Midfielder,Canada and Japan,Right
Rayan,Elloumi,315,Vancouver Whitecaps 2,9/17/2007,17,"Attacking Midfielder, Forward",Canada,Right
Ben ,Nash,17,Vancouver Whitecaps 2,n/a,125,,,
